ram console header, hw_status: 2, fiq step 0.
bin log 0.

[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]Get MD inf from META
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[0]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[1]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[2]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[3]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]arm_dt_memblock_reserve: 0x4e000000 - 0x4e007212 (0x00007213)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]mtk_wcn_consys_memory_reserve   :   0x7f200000 - 0x7f2fffff (0x00100000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][WMT-CONSYS-HW][I]mtk_wcn_consys_memory_reserve:memblock done: 0x7f200000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]mt_reserve: 0x43f00000 - 0x43f0ffff (0x00010000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]mt_reserve: 0x43ff0000 - 0x43ffdfff (0x0000e000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD1 -> 00000001
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD2 -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD3 not found
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD5 -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD1_SUPPORT -> 00000005
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD2_SUPPORT -> 00000001
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD3_SUPPORT -> 00000003
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD5_SUPPORT -> 00000003
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD1_SIZE -> 04000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD2_SIZE -> 01000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD3_SIZE -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD3_SMEM_SIZE -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]ccci_md_mem_reserve   :   0x7a000000 - 0x7e1fffff (0x04200000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]META MD setting not found [0][0]
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x40000000 - 0x79ffffff (0x3a000000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]creating mapping start pa: 0x40000000 @ 0xc0000000 , end pa: 0x60000000 @ 0xe0000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x7e200000 - 0x7f1fffff (0x01000000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x7f300000 - 0x7f4bffff (0x001c0000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]@@@### num_possible_cpus(): 4 ###@@@
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]@@@### num_present_cpus(): 1 ###@@@
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]unified LK bootcmd lge.rev setup: rev_10
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]unified LK bootcmd lge.cable: 400MA
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_init: arch_timer_rate(0xc65d40), PHYS_SECURE_PPI=29, PHYS_NONSECURE_PPI=30, VIRT_PPI=27, HYP_PPI=26, 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: arch_timer_rate(0xc65d40), arch_timer_use_virtual=0 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: request_percpu_irq PHYS_SECURE_PPI err=0 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: request_percpu_irq PHYS_NONSECURE_PPI err=0 
[    0.125305 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c8 = 0x01010100
[    0.125316 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 200 to cpu 1
[    0.125328 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c8 = 0x01010102
[    0.125345 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 201 to cpu 0
[    0.125357 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c8 = 0x01010002
[    0.125368 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 201 to cpu 2
[    0.125380 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c8 = 0x01010402
[    0.125396 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 202 to cpu 0
[    0.125408 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c8 = 0x01000402
[    0.125419 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 202 to cpu 3
[    0.125431 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c8 = 0x01080402
[    0.126770 / 01-01 00:00:00.120]  (1)[1:swapper/0]Fail to enable interrupt 13
[    0.126787 / 01-01 00:00:00.120] -(0)[0:swapper/0]Fail to enable interrupt 13
[    0.126790 / 01-01 00:00:00.120] -(3)[0:swapper/3]Fail to enable interrupt 13
[    0.126793 / 01-01 00:00:00.120] -(2)[0:swapper/2]Fail to enable interrupt 13
[    0.127045 / 01-01 00:00:00.120]  (1)[1:swapper/0][CHIP_COMMON] create /proc/chip(9e1e)
[    0.135267 / 01-01 00:00:00.130]  (2)[1:swapper/0][M4U] 4G DRAM Mode is: 0
[    0.136067 / 01-01 00:00:00.130]  (2)[1:swapper/0][M4U] 4G DRAM Mode is: 0
[    0.136643 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ][CMDQ] platform_dev: dev: df95fe10, PA: 10212000, VA: f0212000, irqId: 175,  irqSecId:176
[    0.136730 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,MMSYS_CONFIG): 0xe08ba000
[    0.136814 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,MDP_RDMA): 0xe08bc000
[    0.136899 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,MDP_RSZ0): 0xe08be000
[    0.136985 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,MDP_RSZ1): 0xe08d2000
[    0.137071 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,MDP_WDMA): 0xe08d4000
[    0.137158 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,MDP_WROT): 0xe08d6000
[    0.137245 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,MDP_TDSHP): 0xe08d8000
[    0.137338 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,MM_MUTEX): 0xe08da000
[    0.137442 / 01-01 00:00:00.130]  (2)[1:swapper/0][CMDQ]DEV: VA(mediatek,VENC): 0xe08dc000
[    0.401064 / 01-01 00:00:00.390]  (0)[1:swapper/0][zram_init][1294] ZCompress[c025f80c] ZDecompress[c025fd18]
[    0.402324 / 01-01 00:00:00.400]  (2)[1:swapper/0][TOUCH][F][COMMON] touch_init()
[    0.402338 / 01-01 00:00:00.400]  (2)[1:swapper/0][TOUCH][F][S3320] S3320_Connect()
[    0.402456 / 01-01 00:00:00.400]  (1)[1:swapper/0][TOUCH][F][S3320] rmidev_module_init()
[    0.405120 / 01-01 00:00:00.400]  (1)[1:swapper/0]systracker init done
[    0.410986 / 01-01 00:00:00.400]  (3)[69:hang_detect][Hang_Detect] hang_detect thread starts.
[    0.411000 / 01-01 00:00:00.400] mirdump: reserved 43ff0000+1000->e0b3a000[    0.411013 / 01-01 00:00:00.400]  (3)[69:hang_detect][Hang_Detect] hang_detect disabled.

[    0.411126 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUP = 0x0 
[    0.411137 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUQ = 0x0 
[    0.411147 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUR = 0x0 
[    0.411158 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUY = 0x0 
[    0.411168 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUP2 = 0x0 
[    0.411179 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUQ2 = 0x0 
[    0.411190 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUR2 = 0x0 
[    0.411201 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUY2 = 0x0 
[    0.411212 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUS = 0x0 
[    0.411222 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_MPUT = 0x0 
[    0.411233 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_WP_ADR = 0x0 
[    0.411243 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_WP_CTRL = 0x0 
[    0.411254 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_CHKER = 0x0 
[    0.411265 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_CHKER_TYPE = 0x0 
[    0.411275 / 01-01 00:00:00.400]  (2)[1:swapper/0][EMI MPU] EMI_CHKER_ADR = 0x0 
[    0.411420 / 01-01 00:00:00.410]  (2)[1:swapper/0][EMI MPU] Not 4G mode 
[    0.411738 / 01-01 00:00:00.410]  (1)[1:swapper/0][gps]null pointer!!
[    0.412028 / 01-01 00:00:00.410]  (1)[1:swapper/0]MT_SCHED: Init complete, device major number = 247
[    0.423772 / 01-01 00:00:00.420]  (0)[1:swapper/0][M4U] m4u_larb0_enable, refcnt: 0, DDP
[    0.424056 / 01-01 00:00:00.420]  (0)[1:swapper/0][CMDQ]======REC 0xdf29a000 command buffer:
[    0.424073 / 01-01 00:00:00.420]  (0)[1:swapper/0]df29a000: 80008001 20000037 00000004 0141c74c
[    0.424085 / 01-01 00:00:00.420]  (0)[1:swapper/0][CMDQ]======REC 0xdf29a000 command buffer END
[    0.424096 / 01-01 00:00:00.420]  (0)[1:swapper/0][CMDQ]REC 0xdf29a000 command buffer TRANSLATED:
[    0.424109 / 01-01 00:00:00.420]  (0)[1:swapper/0][CMDQ]WFE: CMDQ_EVENT_MUTEX0_STREAM_EOF
[    0.424124 / 01-01 00:00:00.420]  (0)[1:swapper/0][CMDQ]READ: R4, addr=0x1400c74c [COLOR],use_mask=0
[    0.424135 / 01-01 00:00:00.420]  (0)[1:swapper/0][CMDQ]======REC 0xdf29a000 command END
[    0.428185 / 01-01 00:00:00.420]  (3)[1:swapper/0]cnt = 0, 4971
[    0.437451 / 01-01 00:00:00.430]  (2)[1:swapper/0]3[CONN-MD-DFT]<conn_md_init> <444>
[    0.437464 / 01-01 00:00:00.430]  (2)[1:swapper/0]3[CONN-MD-DFT][I]conn_md_init:init message queue list succeed
[    0.437476 / 01-01 00:00:00.430]  (2)[1:swapper/0]3[CONN-MD-DFT][I]conn_md_init:init active queue list succeed
[    0.437489 / 01-01 00:00:00.430]  (2)[1:swapper/0]3[CONN-MD-DFT][I]conn_md_init:init user information list succeed
[    0.437516 / 01-01 00:00:00.430]  (2)[1:swapper/0]3[CONN_MD_DMP][I]conn_md_dmp_init:alloc memory for msg log system done, size:0x00000320
[    0.437529 / 01-01 00:00:00.430]  (2)[1:swapper/0]3[CONN-MD-DFT][I]conn_md_init:conn_md_dmp_init succeed
[    0.437611 / 01-01 00:00:00.430]  (1)[1:swapper/0]3[CONN-MD-DFT][I]conn_md_init:create conn_md_thread succeed, wakeup it
[    0.437630 / 01-01 00:00:00.430]  (1)[1:swapper/0]3[CONN-MD-DFT]<conn_md_init> <491>
[    0.455977 / 01-01 00:00:00.450]  (1)[1:swapper/0][[kd_sensorlist]] [camerahw_probe] start
[    0.457434 / 01-01 00:00:00.450] [BOOT_COMMON] boot_mode = 2, state(2,0,0)
[    0.457460 / 01-01 00:00:00.450] [BOOT_REASON] boot_reason = 2, state(2,0,0)[GPIO] version: mt-gpio
[    0.462470 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] sim_switch_driver_init
[    0.462579 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] sim_switch_init
[    0.462602 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] SIM1 sclk= en=0,dir=1,in=0,out=0
[    0.462617 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] SIM1 srst= en=0,dir=1,in=0,out=0
[    0.462631 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] SIM1 sio= en=1,dir=0,in=0,out=0
[    0.462645 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] SIM2 sclk= en=0,dir=1,in=0,out=0
[    0.462660 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] SIM2 srst= en=0,dir=1,in=0,out=0
[    0.462674 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] SIM2 sio= en=1,dir=0,in=0,out=0
[    0.462685 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] set_sim_gpio: 1
[    0.462706 / 01-01 00:00:00.460]  (3)[1:swapper/0][ccci\ssw] mode(1),SIM1(sclk=1, srst=1 , sio=1) SIM2(sclk=1, srst=1 , sio=1)
[    0.463065 / 01-01 00:00:00.460]  (3)[1:swapper/0][Gsensor] bma255_init
[    0.463260 / 01-01 00:00:00.460]  (3)[1:swapper/0][Gsensor] bma255_probe
[    0.463603 / 01-01 00:00:00.460]  (3)[1:swapper/0]Error: Driver 'bmm050' is already registered, aborting...
[    0.463615 / 01-01 00:00:00.460]  (3)[1:swapper/0][Msensor] bmm050_probe 4130 : add driver error
[    0.464082 / 01-01 00:00:00.460]  (3)[1:swapper/0][MALI]Using mali midgard r5p0-02dev0 DDK kernel device driver. GPU probe() begin
[    0.464893 / 01-01 00:00:00.460]  (1)[1:swapper/0][MALI] _mtk_gpu_dvfs_init
[    0.465243 / 01-01 00:00:00.460]  (1)[1:swapper/0][MALI]Using mali midgard r5p0-02dev0 DDK kernel device driver. GPU probe() end
[    0.467429 / 01-01 00:00:00.460]  (1)[1:swapper/0][msdc_select_clksrc]: msdc0 change clk_src from 200000KHz to 6:200000KHz
[    0.467465 / 01-01 00:00:00.460]  (1)[1:swapper/0]msdc0 -> msdc drving<clk 2,cmd 2,dat 2> <- msdc_init_hw() : L<10005> PID<swapper/0><0x1>
[    0.467669 / 01-01 00:00:00.460]  (1)[1:swapper/0]msdc0 ->  VEMC_EN[0x0A18][bit1=enable]=0xc106, VEMC_VOL[0x0A4A][bit9=3.0V]=0xf530
[    0.467669 / 01-01 00:00:00.460]  <- msdc_emmc_power() : L<1887> PID<swapper/0><0x1>
[    0.491638 / 01-01 00:00:00.490] msdc0 -> !!! Set<300KHz> Source<200000KHz> -> sclk<299KHz> state<0> mode<0> div<167> hs400_src<0>
[    0.511454 / 01-01 00:00:00.510]  (3)[1:swapper/0][msdc_drv_probe]: msdc0, msdcpll en[0xF000C250][bit0 should be 0x1]=0x111, msdcpll on[0xF000C25C][bit0~1 should be 0x1]=0x80000001, mux[0xF0000070][bit23, 16~19 for msdc0, bit31, 24~26 for msdc1]=0x2060200
[    0.511834 / 01-01 00:00:00.510]  (3)[1:swapper/0]msdc1 ->  VMC_EN[0x0A16][bit1=enable]=0xc502, VMC_VOL[0x0A48][bit1=3.3V]=0x9d3
[    0.511834 / 01-01 00:00:00.510]  <- msdc_sd_power() : L<1923> PID<swapper/0><0x1>
[    0.511862 / 01-01 00:00:00.510]  (3)[1:swapper/0]msdc1 ->  VMCH_EN[0x0A14][bit1=enable]=0xc102, VMCH_VOL[0x0A48][bit9=3.0V]=0x9d3
[    0.511862 / 01-01 00:00:00.510]  <- msdc_sd_power() : L<1926> PID<swapper/0><0x1>
[    0.512012 / 01-01 00:00:00.510]  (3)[1:swapper/0]msdc1 ->  VMC_EN[0x0A16][bit1=disable]=0x500, VMC_VOL[0x0A48][bit1=3.3V]=0x9d3
[    0.512012 / 01-01 00:00:00.510]  <- msdc_sd_power() : L<1923> PID<swapper/0><0x1>
[    0.512039 / 01-01 00:00:00.510]  (3)[1:swapper/0]msdc1 ->  VMCH_EN[0x0A14][bit1=disable]=0x100, VMCH_VOL[0x0A48][bit9=3.0V]=0x9d3
[    0.512039 / 01-01 00:00:00.510]  <- msdc_sd_power() : L<1926> PID<swapper/0><0x1>
[    0.512103 / 01-01 00:00:00.510]  (3)[1:swapper/0][msdc_select_clksrc]: msdc1 change clk_src from 200000KHz to 2:200000KHz
[    0.512135 / 01-01 00:00:00.510]  (3)[1:swapper/0]msdc1 -> msdc drving<clk 3,cmd 3,dat 3> <- msdc_init_hw() : L<10005> PID<swapper/0><0x1>
[    0.512523 / 01-01 00:00:00.510]  (3)[1:swapper/0]msdc1 ->  VMC_EN[0x0A16][bit1=enable]=0xc502, VMC_VOL[0x0A48][bit1=3.3V]=0x9d3
[    0.512523 / 01-01 00:00:00.510]  <- msdc_sd_power() : L<1923> PID<swapper/0><0x1>
[    0.512551 / 01-01 00:00:00.510]  (3)[1:swapper/0]msdc1 ->  VMCH_EN[0x0A14][bit1=enable]=0x8102, VMCH_VOL[0x0A48][bit9=3.0V]=0x9d3
[    0.512551 / 01-01 00:00:00.510]  <- msdc_sd_power() : L<1926> PID<swapper/0><0x1>
